date,text,stock_tag,industry_tag,label
2025-10-20,纳斯达克中国金龙指数涨幅扩大，现涨1%，最新报8248.73点。,,"证券,汽车整车,半导体,专用机械",0
2025-10-20,阿根廷债券回吐涨幅，因互换协议未达市场预期。,,其他,0
2025-10-20,摩根士丹利：维持英特尔“与大盘持平” 评级；将其目标股价从每股 23 美元上调至每股 36 美元。,,机械基件,0
2025-10-20,【加拿大央行调查：尽管获得关税豁免，出口销售前景依然疲软】加拿大央行调查显示，尽管获得关税豁免，出口销售前景依然疲软。企业预计未来12个月销售增长不会增强。多数企业生产与劳动力产能充足。企业预计投入成本将加速上涨。投资意愿“远低于”长期平均水平。企业销售前景降至两年多来最低水平。,,"电气设备,汽车配件",2
2025-10-20,【俄罗斯侦查委员会就5亿卢布欺诈案立案】俄罗斯侦查委员会宣布，已就国防部项目在合同执行期间5亿卢布被侵吞的事实立案。调查发现，2022年俄国防部与多家商业机构签订的管道系统设备供应合同，遭到“南部军区工程建设局”分公司前总工程师拉普捷夫、“因特拉姆工业”有限责任公司总经理库拉诺夫及副手达拉里、“涅斯特”有限责任公司主管人员的不符合合同条件的设备操作，导致超过5亿卢布资金被侵吞。这些行为致使国家合同条款未能履行，给俄国防部带来特别重大损失。目前，侦查委员会的证据收集工作仍在进行中。（央视）,,"软件服务,通信设备,银行,专用机械",2
2025-10-20,【加拿大央行调查：钢铁与铝业公司称关税引发大规模裁员】加拿大央行调查称，企业在不确定性中选择维持而非扩张。消费者财务状况、支出计划略有改善。企业对未来一年的CPI预期现已略高于2024年末水平。企业预计成本将上升；需求疲软限制了价格上涨。消费者近期的CPI预期高于疫情前水平。企业对国内和出口销售的预期依然疲软。钢铁与铝业公司称关税引发大规模裁员。消费者认为劳动力市场正在下滑，公共部门是主要推动力。消费者计划购买本地商品，减少赴美旅游和商品消费。大多数企业计划明年不增加员工。消费者预计明年汽车价格将大幅上涨。对未来销售指标的预期差额为0，高于第二季度的-6。第三季度商业服务指标为-2.28，高于第二季度的-2.40（修正前为-2.42）。消费者对5年期通胀的预期已从第二季度的3.45%升至3.67%。33%的企业预计加拿大将在未来一年陷入衰退，高于第二季度的28%。18%的企业预计未来两年通胀将高于3%，低于第二季度的23%。27%的企业报告称，过去12个月的销售额出现直接下降，高于第二季度的24%。35%的企业预计未来12个月劳动力成本将下降，14%的企业认为劳动力成本将上升。企业投资将聚焦于维修，而非扩大产能。,,"电气设备,汽车配件",0
2025-10-20,知情人士称，泽连斯基将于周五前往伦敦参加“意愿联盟”活动。,,其他,0
2025-10-20,亚马逊云服务（AWS）：我们已看到连接问题出现初步恢复迹象，目前仍在持续调查问题根源。,,其他,0
2025-10-20,亚马逊云服务（AWS）：我们已确认多项亚马逊云服务在美国东部1区出现网络连接问题。,,其他,0
2025-10-20,法国巴黎银行（BNP）：正常交易与苏丹原告方之间不存在因果关系。,,其他,0
2025-10-20,加拿大央行调查：三分之二的消费者预计加拿大明年将陷入衰退。,,其他,0
2025-10-20,【全国劳动模范和大国工匠代表团访港】全国劳动模范和大国工匠代表团20日抵达香港，开展为期四天的访问交流。香港特区政府为代表团举行了欢迎仪式。代表团由中华全国总工会副主席魏地春担任团长，成员包括高凤林、洪家光、詹春珮、诸懿青、段江南、刘忠、杨俊等7位不同行业的杰出劳动者。他们均为全国劳动模范、全国先进工作者或“大国工匠”荣誉称号获得者，来自高端制造、人工智能、金融、航运、文化体育、餐饮服务等多个国家战略领域和重点民生行业。（新华社）,,"软件服务,铜,全国地产,区域地产,银行,机械基件,互联网",0
2025-10-20,斯洛伐克9月失业率为5.0%，8月为5.0%（市场预期为5.1%）。,,其他,0
2025-10-20,英伟达股价收复跌幅，上涨0.9%至盘中高点。,,其他,0
2025-10-20,恐慌指数VIX波动率日内跌幅达8.5%，报18.99；标普500指数涨超0.9%。,,其他,0
2025-10-20,俄罗斯外长称，就落实特朗普与普京通话中达成的共识可能采取的具体步骤进行了建设性讨论。,,"建筑工程,银行",0
2025-10-20,马克龙在斯洛伐克发表讲话时表示，本周五将在伦敦举行乌克兰意愿联盟会议。,,其他,0
2025-10-20,马克龙：乌克兰人必须参与特朗普与普京的会谈。,,其他,0
2025-10-20,俄罗斯外长拉夫罗夫与美国国务卿鲁比奥通电话。,,其他,0
2025-10-20,【群兴玩具：终止筹划重大资产重组】群兴玩具公告，公司于2025年2月27日披露了筹划重大资产重组的提示性公告，拟以现金方式收购杭州天宽科技有限公司不低于51%的股权。然而，因各方未能就交易价格、交易方案等相关核心条款达成一致，为切实维护各方及公司股东利益，公司同意终止本次重大资产重组事项。此次终止不会对公司现有生产经营活动、财务状况和战略发展造成重大不利影响。,002575.SZ,"电气设备,文教休闲,汽车配件,食品",0
2025-10-20,【以防长称将打击以军控制区内的任何哈马斯人员】财联社10月20日电，据央视新闻，以色列国防部长卡茨当地时间20日表示，他已指示以色列国防军通过美国主导的国际监督机制向加沙地带的哈马斯领导层传达一个明确的信息：凡在以色列控制区域内的任何哈马斯武装人员，必须立即撤离。任何留在该区域的人将成为攻击目标，不会再有进一步警告。以色列国防军20日表示，当天早些时候，以色列空军一架战斗机在加沙地带南部汗尤尼斯地区对数名接近以军部队的武装人员发动空袭，将其打死。按照加沙停火第一阶段协议相关条款，停火生效后，以军将在加沙地带重新部署，退至所谓的“黄线”，该区域仍占加沙大约53%的面积。,,"玻璃,软件服务,医药商业",0
2025-10-20,财联社10月20日电，现货黄金向上触及4300美元，日内上涨1.25%。,,其他,2
2025-10-20,【均胜电子：子公司新获汽车智能电动化项目定点 预计全生命周期订单总金额约50亿元】财联社10月20日电，均胜电子(600699.SH)公告称，子公司近期新获客户（限于保密要求，无法披露其名称，下同）项目定点通知，公司将为上述客户在全球范围内开发并提供一系列汽车智能电动化产品，包括智能辅助驾驶域控制器、智能座舱车载多联屏等产品，预计全生命周期订单总金额约50亿元，计划从2026年底开始量产。该定点项目预计不会对公司本年度经营业绩产生重大影响，但将有利于增厚公司未来年度业务收入。,600699.SH,"园区开发,电器仪表,汽车配件,机械基件,电气设备",0
2025-10-20,【国家知识产权局副局长卢鹏起会见瑞士罗氏集团董事会主席】财联社10月20日电，中国国家知识产权局副局长卢鹏起近日在京会见来访的瑞士罗氏集团董事会主席施万一行。卢鹏起表示，近年来，知识产权保护作为营商环境的一项重要内容，日益受到中外企业的关注。中国国家知识产权局始终坚持对内外资企业的知识产权一视同仁、依法同等保护，切实维护外商投资者合法权益。未来，中国国家知识产权局将继续秉持积极开放的态度，与各国权利人和利益相关方保持良好的交流。施万表示，知识产权是创新药企业生存与发展的核心竞争力。在中国不断完善的知识产权保护体系支撑下，越来越多的跨国制药企业对中国市场充满信心，不断深化本土化战略布局。罗氏集团将持续扩大在中国的研发投入，积极推动源自中国的医药创新成果惠及全球。,,"电气设备,铝,中成药,专用机械",0
2025-10-20,【胜宏科技：目前公司在手订单充足 业务进展顺利】财联社10月20日电，胜宏科技在互动平台表示，目前公司在手订单充足，业务进展顺利，订单生产和交付均在正常履行中。公司将严格按照监管相关规定履行信息披露义务，经营业绩情况请持续关注公司后续披露的定期报告。,300476.SZ,"软件服务,元器件",2
2025-10-20,【汇绿生态：宁波汇宁三月内已减持2.7% 减持计划实施完成】财联社10月20日电，汇绿生态(001267.SZ)公告称，持股18.54%的大股东实际控制人一致行动人宁波汇宁于2025年7月18日至2025年10月17日通过集中竞价及大宗交易累计减持2118.69万股，占公司总股本2.70%，减持计划已实施完成，持股降至1.24亿股，占15.81%。,001267.SZ,"汽车配件,建筑工程,文教休闲,食品",0
2025-10-20,财联社10月20日电，“人造肉第一股”Beyond Meat美股盘前大涨60%，该公司上个交易日收涨24%。,,医药商业,0
2025-10-20,财联社10月20日电，默沙东表示将投资700多亿美元扩大在美国的生产和研发。,,其他,0
2025-10-20,【特朗普指责哥伦比亚纵容毒品生产 哥召回驻美大使】财联社10月20日电，据央视新闻，当地时间20日，哥伦比亚外交部发表声明，哥外交部长罗莎·比利亚维森西奥向公众通报，哥伦比亚驻美国大使丹尼尔·加西亚- 佩纳已被总统佩特罗召回。19日美国总统特朗普指责哥伦比亚总统佩特罗纵容毒品生产，并宣布暂停对哥一切补贴，计划加征关税。对此哥伦比亚外交部发表声明，谴责美国总统特朗普发表对总统佩特罗的攻击性和贬损性言论。表示特朗普在毫无根据的情况下指责佩特罗，这是对哥伦比亚国家主权的直接威胁。,,"汽车整车,元器件",0
2025-10-20,【中国船舶：公司目前订单饱满 排期已至2028年底】财联社10月20日电，中国船舶在互动平台表示，公司目前生产经营情况正常，订单饱满，排期已至2028年底，部分已到2029年，公司将密切研判市场走势，把握市场特点规律，加强订单管理。,600150.SH,"船舶,专用机械",2
2025-10-20,【盐田港：拟2.11亿元参设深圳港弘盛海洋科技投资基金】财联社10月20日电，盐田港(000088.SZ)公告称，公司拟作为有限合伙人与关联方深圳港基金公司等共同投资设立深圳港弘盛海洋科技投资基金合伙企业（有限合伙），该基金总认缴出资金额为5.2亿元，公司以自有资金认缴出资2.11亿元，占基金总认缴出资金额的40.58%。该基金将响应“建设海洋强国”战略，通过资本赋能引导公司港口主业向海洋板块创新发展拓展。,000088.SZ,"化学制药,港口,银行,铝,元器件,小金属",2
2025-10-20,【上大股份：近期向下游客户成功交付“BEST”聚变实验堆用特种合金材料】财联社10月20日电，上大股份在互动平台表示，在核工程领域，目前公司已成功研制并交付核工程用超高纯不锈钢TP316H和TP316L锻棒件等多型技术要求高、性能指标突出的高端产品，应用于国内部分三、四代核工程项目；同时，公司近期研制并向下游客户成功交付“BEST”聚变实验堆用特种合金材料。,301522.SZ,"小金属,专用机械",2
2025-10-20,【保龄宝：股东趵朴富通拟减持不超过3%】财联社10月20日电，保龄宝(002286.SZ)公告称，持股7.10684%的股东宁波趵朴富通资产管理中心(有限合伙)计划自公告披露之日起15个交易日后的2025年11月11日至2026年2月10日，通过集中竞价和大宗交易方式合计减持不超过1141.7万股，占公司总股本3%。其中任意连续90日内大宗交易减持不超761.13万股，占2%；集中竞价减持不超380.57万股，占1%。,002286.SZ,"汽车配件,食品",0
2025-10-20,【香港暂停进口加拿大和法国部分地区禽肉及禽类产品】财联社10月20日电，香港食物环境卫生署食物安全中心（中心）今日（10月20日）宣布，因应世界动物卫生组织通报，指加拿大马尼托巴省Rural Municipality of Ste. Rose爆发高致病性H5N1禽流感，以及法国大西洋岸卢瓦尔省爆发高致病性H5禽流感，中心即时指示业界暂停从上述地区进口禽肉及禽类产品（包括禽蛋），以保障香港公众健康。中心发言人说，根据政府统计处的资料，香港今年首六个月并无从加拿大进口禽肉或禽蛋，同期香港从法国进口约400公吨冰鲜和冷藏禽肉及约2万只禽蛋。,600558.SH,"化学制药,钢加工",0
2025-10-20,【国创高新：子公司拟1.52亿元投建新材料研发基地项目】财联社10月20日电，国创高新(002377.SZ)公告称，公司全资子公司国创科技拟在湖北省鄂州市投资建设“国创高新新材料研发基地建设项目”，该项目投资总额预计约1.52亿元，结合实际分两期推进项目落地。近期国创科技拟实施“国创高新新材料研发基地建设项目一期”工程，投资额3960万元。待一期项目建成后，根据公司实际经营情况另行决定二期项目建设。,002377.SZ,"软件服务,其他建材,银行,水力发电,化工原料",0
2025-10-20,【扬杰科技：已有多项产品技术可用于人形机器人的小型关节电机及感知系统中】财联社10月20日电，扬杰科技在互动平台表示，目前，公司已有包括IGBT、MOSFET、ESD、TVS在内的多项产品技术，可用于人形机器人的小型关节电机、步进电机等电机驱动及感知系统中。该领域目前尚处于发展初期，相关收入占比相对较小，但为公司布局新兴市场奠定了良好基础。公司看好智能机器人产业的长期成长潜力，将持续推进相关产品研发与市场拓展。,"300373.SZ,300024.SZ","航空,机械基件,农业综合,专用机械,半导体",0
2025-10-20,【华兴源创：公司进入特斯拉人形机器人产品的供应链】财联社10月20日电，有投资者向华兴源创提问，公司2025年6月21日公告表述用于人形机器人执行器控制器模块的测试设备供货终端客户的海外实验室，请问此终端客户是否是特斯拉？华兴源创在互动平台表示，2023年T客户成为公司前五大客户，双方建立了良好的合作关系。公司目前已成为客户重要的测试设备供应商，在新能源汽车领域为其开发了车载电脑测试机、车身控制器测试平台和各类电子产品模块烧录和通讯测试等相关设备，同时基于技术同源和业务协同顺利进入其人形机器人等其他产品的供应链。,"688001.SH,300024.SZ","园区开发,电器仪表,环境保护,电气设备,专用机械",2
2025-10-20,财联社10月20日电，国内期货夜盘开盘涨跌不一，沪金涨1.6%，沪银涨1.7%，氧化铝跌0.57%，螺纹跌0.43%，焦煤跌0.29%，玻璃跌1.81%，原油跌0.93%。,,其他,0
2025-10-20,【第二十二届中国国际农产品交易会在天津闭幕 现场销售额超1亿元】财联社10月20日电，农业农村部主办的第二十二届中国国际农产品交易会在国家会展中心（天津）圆满落下帷幕。本届农交会以“塑强品牌助振兴 提振消费增活力”为主题，来自全国3965家企业超2.5万种优质产品参展，近6万名采购商和专业观众到会洽谈。展会现场火爆异常，据不完全统计，参展人数超30万人次，日均参展人数超10万人，现场销售额超1亿元，达成意向合作达8500多项。,000061.SZ,"港口,银行,农业综合,玻璃,专用机械",0
2025-10-20,【本月加沙停火以来 以军袭击已致80人死亡】财联社10月20日电，据央视新闻，当地时间20日，加沙地带卫生部门发表声明称，以军过去24小时在加沙地带的军事行动共导致57名巴勒斯坦人死亡、158人受伤。此外声明还显示，自2023年10月7日巴以冲突爆发以来，以军在加沙的军事行动已导致68216人死亡、170361人受伤。自今年10月11日本轮加沙停火以来，以色列军队的新一轮打击已造成80人死亡，303人受伤。,,文教休闲,0
2025-10-20,财联社10月20日电，WTI原油日内跌幅达2%，现报56.06美元/桶。,,其他,2
2025-10-20,【高鑫零售上半年净亏损初步数据大约1.10-1.40亿元】财联社10月20日电，高鑫零售上半年净亏损初步数据大约1.10亿元人民币至1.40亿元人民币，去年同期净利润及归属于公司拥有人应占溢利分别为人民币1.86亿元及人民币2.06亿元。,,"软件服务,互联网",2
2025-10-20,"①全球首个！我国科研团队在机器人算法领域取得重大突破，机构预计中国人形机器人市场规模2030年将达380亿元，这家公司开发了人形机器人行业数控卧式车床系列；
②美光科技称2026年DRAM供需失衡将加剧，机构表示AI推动存储需求呈指数级增长，这家公司的DDR4产品在2025年上半年量产，产品速率最高可达行业DDR4最高的3200Mbps；
③这家公司的业内首款集成封装mSSD已完成开发、测试，目前处于量产爬坡阶段。",300024.SZ,"电器仪表,专用机械",0
2025-10-20,【农业农村部启动实施奋战60天抗秋汛抢麦播促壮苗行动】财联社10月20日电，为深入贯彻党中央、国务院决策部署，落实抗灾夺秋粮丰收视频调度会要求，农业农村部启动实施奋战60天抗秋汛抢麦播促壮苗行动，从当前开始到“冬至”（12月21日），分区挂图作战、分类精准施策、分时有序推进，强化抗湿播种、晚播应变、冬前田管，千方百计落实小麦面积，全力以赴抓好冬前管理，培育壮苗保安全越冬。近日，农业农村部派出7个工作组和科技小分队，分赴黄淮海冬小麦主产省开展包保指导，推动落实政策措施和关键技术，协调解决困难问题，努力夯实明年夏粮生产基础。,,"软件服务,文教休闲,银行,百货",0
2025-10-20,【伊朗北部发生4.4级地震】财联社10月20日电，当地时间20日下午，伊朗北部塞姆南省和戈勒斯坦省交界处发生里氏4.4级地震，震源深度10公里。目前救援队已赶往现场评估受灾情况。 (央视新闻),,港口,2
